metodo,tipo,params,valor,tempo,rep,stdout,erro,timestamp
Algoritmo Genético,default,"891,7,778,826,164,715,433,349,285,160",-1780.0,1.5774672031402588,0,-1780.00,,1764717299.4238288
Algoritmo Genético,default,"33,31,96,224,239,518,617,28,575,204",-989.0,1.7829573154449463,0,-989.00,,1764717299.629319
Algoritmo Genético,default,"945,388,81,566,301,850,644,634,907,883",-1071.0,1.8146164417266846,0,-1071.00,,1764717299.660978
Algoritmo Genético,default,"734,666,719,559,430,226,460,604,285,829",-1046.0,1.8619508743286133,0,-1046.00,,1764717299.7083125
Algoritmo Genético,default,"371,592,197,722,72,47,678,234,792,297",-2054.0,1.9570136070251465,0,-2054.00,,1764717299.8033752
Algoritmo Genético,default,"221,981,782,345,105,95,390,100,368,868",-1929.0,1.988677740097046,0,-1929.00,,1764717299.8350394
Algoritmo Genético,default,"353,619,271,827,45,748,471,550,128,997",-387.0,2.283858060836792,0,-387.00,,1764717300.1302197
Algoritmo Genético,default,"82,876,239,888,104,390,285,465,651,855",-913.0,2.8149898052215576,0,-913.00,,1764717300.6613514
Algoritmo Genético,default,"374,167,380,364,215,687,274,719,960,700",-1774.0,1.4216439723968506,0,-1774.00,,1764717300.8454728
Algoritmo Genético,default,"664,74,624,651,176,547,747,251,168,474",-1466.0,1.85683012008667,0,-1466.00,,1764717301.486149
Algoritmo Genético,default,"389,277,948,656,705,571,225,702,333,864",-1254.0,1.8251709938049316,0,-1254.00,,1764717301.486149
Algoritmo Genético,default,"787,795,58,235,842,33,825,324,411,275",-939.0,1.9184353351593018,0,-939.00,,1764717301.6267478
Algoritmo Genético,default,"68,217,936,966,581,898,736,323,218,672",-1685.0,1.85453200340271,0,-1685.00,,1764717301.6579072
Algoritmo Genético,default,"763,575,552,270,765,599,439,920,598,409",-850.0,1.7779476642608643,0,-850.00,,1764717301.9081674
Algoritmo Genético,default,"371,225,142,522,506,94,774,49,882,113",-1330.0,1.2493298053741455,0,-1330.00,,1764717301.9106812
Algoritmo Genético,default,"512,406,906,937,659,470,147,272,143,253",-2233.0,2.1389963626861572,0,-2233.00,,1764717301.9740357
Algoritmo Genético,default,"157,643,164,812,697,433,611,66,395,391",-1961.0,1.1446127891540527,0,-1961.00,,1764717301.9900856
Algoritmo Genético,default,"611,480,542,258,995,567,882,966,12,697",-1376.0,1.1719331741333008,0,-1376.00,,1764717302.6580822
Algoritmo Genético,default,"739,118,699,907,550,769,274,788,657,349",-864.0,2.0158040523529053,0,-864.00,,1764717303.5019531
Algoritmo Genético,default,"115,301,446,162,465,4,977,740,897,737",-1910.0,2.4428842067718506,0,-1910.00,,1764717304.069632
Algoritmo Genético,default,"20,115,952,372,900,852,827,315,246,60",-1927.0,2.2312185764312744,0,-1927.00,,1764717304.2052543
Algoritmo Genético,default,"553,977,798,945,544,941,1,614,332,501",-1220.0,2.3107211589813232,0,-1220.00,,1764717304.2214024
Algoritmo Genético,default,"270,996,513,781,183,520,935,109,892,641",-1506.0,2.5791633129119873,0,-1506.00,,1764717304.2370706
Algoritmo Genético,default,"306,862,655,520,624,204,157,383,781,166",-1736.0,2.360712766647339,0,-1736.00,,1764717304.2688801
Algoritmo Genético,default,"247,900,581,970,81,88,750,498,836,71",-2090.0,2.267280340194702,0,-2090.00,,1764717304.2688801
Algoritmo Genético,default,"945,666,81,566,301,226,460,634,285,829",-1487.0,1.4466495513916016,0,-1487.00,,1764717305.7295377
Algoritmo Genético,default,"787,795,58,235,842,33,825,324,411,275",-939.0,1.4476497173309326,0,-939.00,,1764717305.730538
Algoritmo Genético,default,"389,619,271,656,45,748,471,702,128,997",-292.0,1.5638597011566162,0,-292.00,,1764717305.8467479
Algoritmo Genético,default,"787,977,58,235,544,941,1,324,411,275",-2167.0,1.579496145248413,0,-2167.00,,1764717305.8623843
Algoritmo Genético,default,"763,575,552,907,765,599,439,920,657,349",-428.0,1.723052740097046,0,-428.00,,1764717306.005941
Algoritmo Genético,default,"763,575,552,270,765,599,439,920,598,409",-850.0,1.754730463027954,0,-850.00,,1764717306.0376186
Algoritmo Genético,default,"739,118,699,907,550,769,274,788,128,349",-1393.0,1.7703726291656494,0,-1393.00,,1764717306.0532608
Algoritmo Genético,default,"739,118,699,907,765,599,439,788,598,349",-713.0,1.8814661502838135,0,-713.00,,1764717306.1643543
Algoritmo Genético,default,"739,761,58,907,550,33,274,324,411,349",-2078.0,1.2271273136138916,0,-2078.00,,1764717306.9576652
Algoritmo Genético,default,"734,795,653,559,430,33,825,604,285,275",-1279.0,1.3068821430206299,0,-1279.00,,1764717307.03742
Algoritmo Genético,default,"82,225,239,522,104,94,774,465,651,113",-1317.0,1.0736794471740723,0,-1317.00,,1764717307.1269403
Algoritmo Genético,default,"82,876,552,270,765,599,285,920,598,855",-1200.0,1.2645559310913086,0,-1200.00,,1764717307.1269403
Algoritmo Genético,default,"739,118,699,907,430,226,354,604,657,829",-931.0,1.1265075206756592,0,-931.00,,1764717307.1641262
Algoritmo Genético,default,"270,31,513,224,183,520,617,28,575,641",-1596.0,1.1581852436065674,0,-1596.00,,1764717307.1641262
Algoritmo Genético,default,"68,31,96,224,239,921,736,28,218,204",-1119.0,1.3490912914276123,0,-1119.00,,1764717307.1958392
Algoritmo Genético,default,"82,876,239,888,104,94,774,465,651,113",-2334.0,1.2124264240264893,0,-2334.00,,1764717307.3767807
Algoritmo Genético,default,"353,619,271,827,45,571,471,702,333,997",-677.0,0.8390977382659912,0,-677.00,,1764717307.796763
Algoritmo Genético,default,"68,217,936,966,104,898,736,323,651,672",-1729.0,0.7301192283630371,0,-1729.00,,1764717307.8570595
Algoritmo Genético,default,"739,225,142,522,506,94,774,788,882,349",-961.0,0.8349454402923584,0,-961.00,,1764717307.8723655
Algoritmo Genético,default,"664,666,719,559,430,547,460,604,168,829",-912.0,0.7825970649719238,0,-912.00,,1764717307.9095373
Algoritmo Genético,default,"353,619,271,827,45,571,471,702,333,997",-677.0,1.283766269683838,0,-677.00,,1764717309.1933036
Algoritmo Genético,default,"389,619,699,907,765,748,471,702,598,997",-213.0,1.3310668468475342,0,-213.00,,1764717309.2406042
Algoritmo Genético,default,"739,118,271,907,45,599,439,702,128,997",-1423.0,1.3310668468475342,0,-1423.00,,1764717309.2406042
Algoritmo Genético,default,"664,118,719,907,430,547,354,604,657,829",-943.0,1.3627543449401855,0,-943.00,,1764717309.2722917
Algoritmo Genético,default,"82,225,239,522,506,94,285,788,882,349",-2010.0,1.4425287246704102,0,-2010.00,,1764717309.352066
Algoritmo Genético,default,"763,575,699,907,765,599,439,920,657,349",-281.0,1.4425287246704102,0,-281.00,,1764717309.352066
Algoritmo Genético,default,"82,876,239,270,104,390,439,920,598,855",-1341.0,1.7037742137908936,0,-1341.00,,1764717309.6133115
Algoritmo Genético,default,"82,118,552,907,550,769,285,920,598,855",-1388.0,1.7198100090026855,0,-1388.00,,1764717309.6293473
Algoritmo Genético,default,"739,118,699,907,550,769,439,788,657,349",-699.0,1.6319804191589355,0,-699.00,,1764717310.825284
Algoritmo Genético,default,"664,666,719,559,430,547,460,604,168,829",-912.0,1.7381980419158936,0,-912.00,,1764717310.9788644
Algoritmo Genético,default,"739,118,699,907,550,769,274,788,657,349",-864.0,1.8736722469329834,0,-864.00,,1764717311.1142764
Algoritmo Genético,default,"763,575,271,827,45,748,439,550,128,997",-809.0,1.7642107009887695,0,-809.00,,1764717311.1162767
Algoritmo Genético,default,"389,619,699,656,765,748,471,788,598,349",-418.0,2.012652635574341,0,-418.00,,1764717311.3647187
Algoritmo Genético,default,"787,795,58,235,842,769,274,788,657,275",-1104.0,1.7604146003723145,0,-1104.00,,1764717311.3737261
Algoritmo Genético,default,"389,619,271,656,765,599,471,702,128,409",-945.0,1.7453784942626953,0,-945.00,,1764717311.3747258
Algoritmo Genético,default,"353,619,271,827,45,571,471,702,333,997",-677.0,2.1099557876586914,0,-677.00,,1764717311.3822474
Algoritmo Genético,default,"664,666,719,270,430,547,460,604,598,409",-927.0,0.9468188285827637,0,-927.00,,1764717311.7721028
Algoritmo Genético,default,"664,666,239,888,430,547,460,465,651,855",-921.0,0.9202420711517334,0,-921.00,,1764717311.8991065
Algoritmo Genético,default,"389,619,719,559,430,748,460,604,128,829",-511.0,0.8169798851013184,0,-511.00,,1764717311.9312563
Algoritmo Genético,default,"763,575,552,827,765,571,439,920,598,997",-181.0,0.8755340576171875,0,-181.00,,1764717311.9918108
Algoritmo Genético,default,"353,619,271,827,45,571,471,702,333,997",-677.0,1.3556418418884277,0,-677.00,,1764717313.3494
Algoritmo Genético,default,"353,619,271,827,45,571,471,702,333,997",-677.0,1.4978446960449219,0,-677.00,,1764717313.4925997
Algoritmo Genético,default,"353,619,271,827,45,571,471,702,128,997",-516.0,1.6165275573730469,0,-516.00,,1764717313.6102858
Algoritmo Genético,default,"389,619,699,827,765,748,439,920,598,997",-187.0,1.6205382347106934,0,-187.00,,1764717313.6152933
Algoritmo Genético,default,"763,619,552,559,430,748,460,920,128,349",-1212.0,1.6305351257324219,0,-1212.00,,1764717313.6242933
Algoritmo Genético,default,"739,118,552,907,765,769,274,788,598,349",-855.0,1.6360604763031006,0,-855.00,,1764717313.628816
Algoritmo Genético,default,"739,575,552,907,550,769,439,920,657,997",-243.0,1.6380600929260254,0,-243.00,,1764717313.6318142
Algoritmo Genético,default,"389,619,271,656,45,748,471,702,128,997",-292.0,2.1791467666625977,0,-292.00,,1764717314.172905
Algoritmo Genético,default,"739,118,719,559,430,602,439,604,128,349",-1443.0,1.4840624332427979,0,-1443.00,,1764717314.8334625
Algoritmo Genético,default,"353,619,271,827,45,571,282,702,333,997",-488.0,1.5063636302947998,0,-488.00,,1764717314.9999712
Algoritmo Genético,default,"389,619,271,827,765,748,471,550,128,997",-433.0,1.5619471073150635,0,-433.00,,1764717315.1782422
Algoritmo Genético,default,"389,619,552,907,765,571,471,920,598,997",-559.0,1.685173511505127,0,-559.00,,1764717315.2954593
Algoritmo Genético,default,"739,619,271,907,45,599,471,702,598,349",-1414.0,1.7377302646636963,0,-1414.00,,1764717315.3665462
Algoritmo Genético,default,"353,619,271,656,45,571,471,702,128,997",-433.0,1.9115808010101318,0,-433.00,,1764717315.5358741
Algoritmo Genético,default,"389,619,699,907,765,748,471,702,598,997",-213.0,1.904059886932373,0,-213.00,,1764717315.5358741
Algoritmo Genético,default,"389,575,699,907,45,748,439,702,598,997",-1009.0,1.4410791397094727,0,-1009.00,,1764717315.6144915
Algoritmo Genético,default,"389,619,699,656,45,748,471,702,128,997",-662.0,1.116952657699585,0,-662.00,,1764717315.9504151
Algoritmo Genético,default,"353,575,552,827,765,571,471,920,128,997",-1011.0,1.1208829879760742,0,-1011.00,,1764717316.1223624
Algoritmo Genético,default,"389,619,271,656,765,748,471,702,128,997",-302.0,1.1194229125976562,0,-302.00,,1764717316.297665
Algoritmo Genético,default,"763,118,699,827,765,599,439,920,598,349",-717.0,1.0327329635620117,0,-717.00,,1764717316.3281922
Algoritmo Genético,default,"389,619,699,907,45,748,282,702,333,997",-797.0,1.4988152980804443,0,-797.00,,1764717317.8280246
Algoritmo Genético,default,"447,575,552,656,765,769,439,702,657,997",-335.0,1.4978349208831787,0,-335.00,,1764717317.8290286
Algoritmo Genético,default,"389,619,552,907,550,748,439,702,657,997",-548.0,1.5687611103057861,0,-548.00,,1764717317.8979704
Algoritmo Genético,default,"353,575,271,827,45,748,471,920,598,997",-1027.0,1.6375315189361572,0,-1027.00,,1764717317.9667408
Algoritmo Genético,default,"389,575,699,827,765,769,439,920,598,997",-210.0,1.6410408020019531,0,-210.00,,1764717317.9702501
Algoritmo Genético,default,"389,619,271,907,969,748,471,702,598,997",-775.0,1.6456165313720703,0,-775.00,,1764717317.9768093
Algoritmo Genético,default,"389,619,271,827,45,571,471,550,333,997",-761.0,2.039273500442505,0,-761.00,,1764717318.3684828
Algoritmo Genético,default,"353,619,271,827,45,748,471,550,128,997",-387.0,2.4396140575408936,0,-387.00,,1764717318.7688234
Algoritmo Genético,default,"389,619,271,907,45,571,282,702,598,997",-869.0,2.5466415882110596,0,-869.00,,1764717320.3756702
Algoritmo Genético,default,"739,575,552,907,550,748,471,702,598,997",-269.0,2.4776997566223145,0,-269.00,,1764717320.3756702
Algoritmo Genético,default,"389,250,271,827,765,571,471,920,128,997",-1149.0,2.569847822189331,0,-1149.00,,1764717320.3978724
Algoritmo Genético,default,"389,630,699,656,765,748,471,702,128,997",-661.0,2.4321296215057373,0,-661.00,,1764717320.3988705
Algoritmo Genético,default,"389,619,699,827,765,748,439,920,598,997",-187.0,2.4220612049102783,0,-187.00,,1764717320.3988705
Algoritmo Genético,default,"353,619,271,907,765,571,282,920,333,997",-796.0,2.4296212196350098,0,-796.00,,1764717320.3998713
Algoritmo Genético,default,"389,619,699,907,765,748,471,702,598,997",-213.0,2.1308274269104004,0,-213.00,,1764717320.500307
Algoritmo Genético,default,"353,619,699,827,45,748,282,702,598,997",-946.0,1.90067458152771,0,-946.00,,1764717320.669498
Algoritmo Genético,default,"389,619,271,827,765,748,471,920,128,997",-603.0,1.032447338104248,0,-603.00,,1764717321.4081175
Algoritmo Genético,default,"353,619,699,827,765,599,471,550,657,997",-411.0,1.0102450847625732,0,-411.00,,1764717321.4081175
Algoritmo Genético,default,"389,619,271,907,45,748,471,702,128,997",-455.0,1.032447338104248,0,-455.00,,1764717321.4081175
Algoritmo Genético,default,"389,619,699,656,765,748,471,702,128,997",-672.0,1.009247064590454,0,-672.00,,1764717321.4081175
Algoritmo Genético,default,"389,619,271,827,45,748,471,702,128,997",-375.0,1.38505220413208,0,-375.00,,1764717322.7961776
Algoritmo Genético,default,"389,575,699,827,765,571,439,612,598,997",-476.0,1.452427625656128,0,-476.00,,1764717322.8625534
Algoritmo Genético,default,"763,575,552,827,550,571,439,920,558,997",-436.0,1.461942434310913,0,-436.00,,1764717322.8720682
Algoritmo Genético,default,"389,619,271,827,45,748,471,702,128,997",-375.0,1.4725008010864258,0,-375.00,,1764717322.8841324
Algoritmo Genético,default,"447,575,552,827,765,769,439,920,657,997",-240.0,1.4725008010864258,0,-240.00,,1764717322.8841324
Algoritmo Genético,default,"389,619,699,827,765,571,439,920,598,997",-364.0,1.485532283782959,0,-364.00,,1764717322.895658
Algoritmo Genético,default,"389,619,699,827,45,748,439,702,128,997",-713.0,1.707280158996582,0,-713.00,,1764717323.1189117
Algoritmo Genético,default,"389,575,552,827,765,769,439,920,598,997",-357.0,1.7349214553833008,0,-357.00,,1764717323.1450472
Algoritmo Genético,default,"389,619,699,827,765,748,471,702,598,997",-133.0,1.3231558799743652,0,-133.00,,1764717324.1857092
Algoritmo Genético,default,"389,619,699,827,765,748,439,920,657,997",-128.0,1.3905372619628906,0,-128.00,,1764717324.186715
Algoritmo Genético,default,"389,619,699,827,765,748,439,920,598,997",-187.0,1.3055710792541504,0,-187.00,,1764717324.201229
Algoritmo Genético,default,"763,575,699,907,765,571,439,920,598,997",-114.0,1.439741611480713,0,-114.00,,1764717324.323874
Algoritmo Genético,default,"763,619,271,907,765,748,471,920,598,997",-289.0,1.4638011455535889,0,-289.00,,1764717324.3368804
Algoritmo Genético,default,"353,619,552,827,765,748,439,920,598,997",-370.0,1.1958346366882324,0,-370.00,,1764717324.3418803
Algoritmo Genético,default,"739,575,552,656,550,769,439,920,657,997",-280.0,1.2249703407287598,0,-280.00,,1764717324.343882
Algoritmo Genético,default,"389,619,699,827,765,748,471,920,598,997",-155.0,1.5428664684295654,0,-155.00,,1764717324.4269989
Algoritmo Genético,default,"447,575,699,827,765,748,439,920,657,997",-114.0,0.9560220241546631,0,-114.00,,1764717325.142737
Algoritmo Genético,default,"389,619,271,907,765,748,471,702,128,997",-465.0,1.0722320079803467,0,-465.00,,1764717325.273461
Algoritmo Genético,default,"739,575,699,907,765,748,439,920,598,997",39.0,0.9495871067047119,0,39.00,,1764717325.273461
Algoritmo Genético,default,"389,619,699,827,969,748,471,702,128,997",-737.0,1.087754487991333,0,-737.00,,1764717325.2744694
Algoritmo Genético,default,"389,619,699,827,765,748,439,920,598,997",-187.0,1.6214168071746826,0,-187.00,,1764717326.8978782
Algoritmo Genético,default,"389,575,699,827,765,748,439,920,657,997",-172.0,1.9027259349822998,0,-172.00,,1764717327.1791873
Algoritmo Genético,default,"389,619,699,827,765,769,471,920,657,997",-75.0,2.0004451274871826,0,-75.00,,1764717327.2769065
Algoritmo Genético,default,"763,619,699,907,765,748,439,920,598,997",107.0,2.0024447441101074,0,107.00,,1764717327.278906
Algoritmo Genético,default,"739,619,699,827,765,748,439,920,657,997",222.0,2.018967866897583,0,222.00,,1764717327.2954292
Algoritmo Genético,default,"389,619,699,827,765,748,471,920,598,997",-155.0,2.0199685096740723,0,-155.00,,1764717327.2964299
Algoritmo Genético,default,"739,575,699,827,765,748,439,920,598,997",119.0,2.5426485538482666,0,119.00,,1764717327.81911
Algoritmo Genético,default,"389,575,552,827,765,769,439,920,598,997",-357.0,2.6377532482147217,0,-357.00,,1764717327.9142146
Algoritmo Genético,default,"389,619,699,827,765,748,439,920,598,997",-187.0,1.4005730152130127,0,-187.00,,1764717328.5797603
Algoritmo Genético,default,"763,575,699,827,765,748,439,920,598,997",143.0,1.697394847869873,0,143.00,,1764717328.595273
Algoritmo Genético,default,"763,619,699,907,765,748,471,920,598,997",139.0,1.6748902797698975,0,139.00,,1764717328.9547975
Algoritmo Genético,default,"739,575,699,907,765,748,439,702,598,997",61.0,1.6593682765960693,0,61.00,,1764717328.9547975
Algoritmo Genético,default,"389,619,699,827,765,571,439,920,598,997",-364.0,1.6899476051330566,0,-364.00,,1764717328.9863775
Algoritmo Genético,default,"739,619,699,827,765,748,439,920,598,997",163.0,1.7094709873199463,0,163.00,,1764717328.9863775
Algoritmo Genético,default,"389,619,699,827,765,748,471,702,598,997",-133.0,1.400181531906128,0,-133.00,,1764717329.2202885
Algoritmo Genético,default,"763,619,552,827,765,748,439,920,657,997",99.0,1.3060739040374756,0,99.00,,1764717329.2202885
Algoritmo Genético,default,"739,575,699,907,765,748,439,920,598,997",39.0,0.8968794345855713,0,39.00,,1764717329.4766397
Algoritmo Genético,default,"763,575,552,827,550,571,471,702,558,997",-382.0,1.0937528610229492,0,-382.00,,1764717329.6890259
